Namespace(batch_size=100, decay_rate=0.1, decay_step=20000, gpu=2, learning_rate=1.0, log_dir='log1002', max_epoch=10000, momentum=0.9)
Loss for Iter 16951: 0.125748, acc = 0.830000
-----------------------------------
Test loss for epoch 16: 0.118988, Acc = 0.837300
Loss for Iter 17001: 0.119554, acc = 0.830000
Loss for Iter 17051: 0.115496, acc = 0.870000
Loss for Iter 17101: 0.129657, acc = 0.790000
Loss for Iter 17151: 0.107484, acc = 0.880000
Loss for Iter 17201: 0.118111, acc = 0.830000
Loss for Iter 17251: 0.127677, acc = 0.790000
Loss for Iter 17301: 0.114064, acc = 0.880000
Loss for Iter 17351: 0.116466, acc = 0.870000
Loss for Iter 17401: 0.126549, acc = 0.800000
Loss for Iter 17451: 0.124894, acc = 0.830000
Loss for Iter 17501: 0.121887, acc = 0.840000
Loss for Iter 17551: 0.118565, acc = 0.860000
Loss for Iter 17601: 0.140180, acc = 0.770000
Loss for Iter 17651: 0.113499, acc = 0.860000
Loss for Iter 17701: 0.125691, acc = 0.810000
Loss for Iter 17751: 0.115265, acc = 0.860000
Loss for Iter 17801: 0.137661, acc = 0.750000
Loss for Iter 17851: 0.112736, acc = 0.850000
Loss for Iter 17901: 0.117936, acc = 0.840000
Loss for Iter 17951: 0.112152, acc = 0.880000
-----------------------------------
Test loss for epoch 17: 0.115354, Acc = 0.859900
Loss for Iter 18001: 0.105315, acc = 0.880000
Loss for Iter 18051: 0.103232, acc = 0.910000
Loss for Iter 18101: 0.112882, acc = 0.870000
Loss for Iter 18151: 0.134399, acc = 0.780000
Loss for Iter 18201: 0.121294, acc = 0.810000
Loss for Iter 18251: 0.119340, acc = 0.860000
Loss for Iter 18301: 0.118718, acc = 0.830000
Loss for Iter 18351: 0.113340, acc = 0.840000
Loss for Iter 18401: 0.118514, acc = 0.840000
Loss for Iter 18451: 0.124992, acc = 0.850000
Loss for Iter 18501: 0.118255, acc = 0.810000
Loss for Iter 18551: 0.119763, acc = 0.850000
Loss for Iter 18601: 0.119636, acc = 0.880000
Loss for Iter 18651: 0.124611, acc = 0.810000
Loss for Iter 18701: 0.114765, acc = 0.890000
Loss for Iter 18751: 0.124549, acc = 0.810000
Loss for Iter 18801: 0.123130, acc = 0.840000
Loss for Iter 18851: 0.112124, acc = 0.880000
Loss for Iter 18901: 0.104225, acc = 0.900000
Loss for Iter 18951: 0.112233, acc = 0.890000
-----------------------------------
Test loss for epoch 18: 0.118625, Acc = 0.850600
Loss for Iter 19001: 0.122824, acc = 0.810000
Loss for Iter 19051: 0.115003, acc = 0.850000
Loss for Iter 19101: 0.111226, acc = 0.890000
Loss for Iter 19151: 0.116016, acc = 0.890000
Loss for Iter 19201: 0.124774, acc = 0.800000
Loss for Iter 19251: 0.125434, acc = 0.820000
Loss for Iter 19301: 0.110820, acc = 0.880000
Loss for Iter 19351: 0.125942, acc = 0.820000
Loss for Iter 19401: 0.111663, acc = 0.890000
Loss for Iter 19451: 0.110381, acc = 0.890000
Loss for Iter 19501: 0.143675, acc = 0.780000
Loss for Iter 19551: 0.107656, acc = 0.860000
Loss for Iter 19601: 0.123881, acc = 0.830000
Loss for Iter 19651: 0.121587, acc = 0.830000
Loss for Iter 19701: 0.139031, acc = 0.800000
Loss for Iter 19751: 0.116001, acc = 0.830000
Loss for Iter 19801: 0.106600, acc = 0.910000
Loss for Iter 19851: 0.115647, acc = 0.850000
Loss for Iter 19901: 0.109086, acc = 0.870000
Loss for Iter 19951: 0.114368, acc = 0.870000
-----------------------------------
Test loss for epoch 19: 0.123216, Acc = 0.842600
Loss for Iter 20001: 0.125352, acc = 0.850000
Loss for Iter 20051: 0.119460, acc = 0.830000
Loss for Iter 20101: 0.090285, acc = 0.960000
Loss for Iter 20151: 0.105748, acc = 0.870000
Loss for Iter 20201: 0.111360, acc = 0.870000
Loss for Iter 20251: 0.092824, acc = 0.950000
Loss for Iter 20301: 0.095912, acc = 0.910000
Loss for Iter 20351: 0.111860, acc = 0.840000
Loss for Iter 20401: 0.095762, acc = 0.900000
Loss for Iter 20451: 0.101569, acc = 0.910000
Loss for Iter 20501: 0.093521, acc = 0.930000
Loss for Iter 20551: 0.092660, acc = 0.930000
Loss for Iter 20601: 0.093455, acc = 0.920000
Loss for Iter 20651: 0.099809, acc = 0.930000
Loss for Iter 20701: 0.101255, acc = 0.910000
Loss for Iter 20751: 0.091392, acc = 0.900000
Loss for Iter 20801: 0.098811, acc = 0.900000
Loss for Iter 20851: 0.107585, acc = 0.850000
Loss for Iter 20901: 0.093473, acc = 0.880000
Loss for Iter 20951: 0.100056, acc = 0.910000
-----------------------------------
Test loss for epoch 20: 0.090850, Acc = 0.920200
Loss for Iter 21001: 0.082260, acc = 0.960000
Loss for Iter 21051: 0.098295, acc = 0.900000
Loss for Iter 21101: 0.086698, acc = 0.940000
Loss for Iter 21151: 0.095082, acc = 0.900000
Loss for Iter 21201: 0.097353, acc = 0.920000
Loss for Iter 21251: 0.094782, acc = 0.890000
Loss for Iter 21301: 0.099584, acc = 0.870000
Loss for Iter 21351: 0.093855, acc = 0.860000
Loss for Iter 21401: 0.078757, acc = 0.950000
Loss for Iter 21451: 0.084644, acc = 0.940000
Loss for Iter 21501: 0.095588, acc = 0.880000
Loss for Iter 21551: 0.087599, acc = 0.920000
Loss for Iter 21601: 0.079336, acc = 0.940000
Loss for Iter 21651: 0.097322, acc = 0.880000
Loss for Iter 21701: 0.096578, acc = 0.890000
Loss for Iter 21751: 0.080630, acc = 0.940000
Loss for Iter 21801: 0.090397, acc = 0.900000
Loss for Iter 21851: 0.072202, acc = 0.980000
Loss for Iter 21901: 0.083836, acc = 0.940000
Loss for Iter 21951: 0.090663, acc = 0.930000
-----------------------------------
Test loss for epoch 21: 0.083734, Acc = 0.928700
Loss for Iter 22001: 0.080048, acc = 0.920000
Loss for Iter 22051: 0.074328, acc = 0.960000
Loss for Iter 22101: 0.084254, acc = 0.930000
Loss for Iter 22151: 0.082495, acc = 0.920000
Loss for Iter 22201: 0.085947, acc = 0.930000
Loss for Iter 22251: 0.080297, acc = 0.950000
Loss for Iter 22301: 0.077984, acc = 0.940000
Loss for Iter 22351: 0.079980, acc = 0.930000
Loss for Iter 22401: 0.089902, acc = 0.910000
Loss for Iter 22451: 0.073756, acc = 0.970000
Loss for Iter 22501: 0.082191, acc = 0.920000
Loss for Iter 22551: 0.081375, acc = 0.950000
Loss for Iter 22601: 0.087306, acc = 0.920000
Loss for Iter 22651: 0.082106, acc = 0.930000
Loss for Iter 22701: 0.083349, acc = 0.920000
Loss for Iter 22751: 0.077561, acc = 0.950000
Loss for Iter 22801: 0.082854, acc = 0.920000
Loss for Iter 22851: 0.082438, acc = 0.910000
Loss for Iter 22901: 0.084302, acc = 0.900000
Loss for Iter 22951: 0.073161, acc = 0.960000
-----------------------------------
Test loss for epoch 22: 0.079552, Acc = 0.929200
Loss for Iter 23001: 0.079922, acc = 0.940000
Loss for Iter 23051: 0.073444, acc = 0.970000
Loss for Iter 23101: 0.077703, acc = 0.920000
Loss for Iter 23151: 0.073002, acc = 0.940000
Loss for Iter 23201: 0.070546, acc = 0.970000
Loss for Iter 23251: 0.069731, acc = 0.960000
Loss for Iter 23301: 0.078955, acc = 0.910000
Loss for Iter 23351: 0.072132, acc = 0.950000
Loss for Iter 23401: 0.078099, acc = 0.940000
Loss for Iter 23451: 0.070132, acc = 0.950000
Loss for Iter 23501: 0.085949, acc = 0.890000
Loss for Iter 23551: 0.070759, acc = 0.960000
Loss for Iter 23601: 0.071255, acc = 0.950000
Loss for Iter 23651: 0.075391, acc = 0.930000
Loss for Iter 23701: 0.076152, acc = 0.950000
Loss for Iter 23751: 0.073702, acc = 0.950000
Loss for Iter 23801: 0.072864, acc = 0.950000
Loss for Iter 23851: 0.068554, acc = 0.930000
Loss for Iter 23901: 0.087682, acc = 0.880000
Loss for Iter 23951: 0.089222, acc = 0.900000
-----------------------------------
Test loss for epoch 23: 0.073838, Acc = 0.933800
Loss for Iter 24001: 0.069877, acc = 0.920000
Loss for Iter 24051: 0.074409, acc = 0.910000
Loss for Iter 24101: 0.063445, acc = 0.960000
Loss for Iter 24151: 0.064388, acc = 0.960000
Loss for Iter 24201: 0.064575, acc = 0.950000
Loss for Iter 24251: 0.084989, acc = 0.910000
Loss for Iter 24301: 0.077884, acc = 0.940000
Loss for Iter 24351: 0.064016, acc = 0.970000
Loss for Iter 24401: 0.072089, acc = 0.920000
Loss for Iter 24451: 0.061431, acc = 1.000000
Loss for Iter 24501: 0.062610, acc = 0.960000
Loss for Iter 24551: 0.062562, acc = 0.960000
Loss for Iter 24601: 0.062901, acc = 0.960000
Loss for Iter 24651: 0.072828, acc = 0.950000
Loss for Iter 24701: 0.063889, acc = 0.950000
